symbol,timeframe,horizon,event_spec,event,n_years_valid,avg_n,min_n,max_n,frac_years_mean_pos,frac_years_sharpe_ann_pos,mean_median,mean_p10,mean_p90,mean_worst,sharpe_ann_median,sharpe_ann_p10,sharpe_ann_p90,sharpe_ann_worst,hit_rate_median
SPY,1d,1,range_expansion_atr:1.25,(tr>=1.25*atr14 AND trend_up_200),3,53.0,46,61,1.0,1.0,0.0013794320747335,0.00095168361620966,0.00163456115720078,0.0008447465015787,3.098246691552077,1.8150097446091147,3.1112649822373677,1.494200507873374,0.6086956521739131
SPY,1d,1,range_expansion_atr:1.25,(tr>=1.25*atr14 AND vol_low_q0.33),1,45.0,45,45,1.0,1.0,0.0011100807859102,0.0011100807859102,0.0011100807859102,0.0011100807859102,2.3097001049828654,2.3097001049828654,2.3097001049828654,2.3097001049828654,0.5555555555555556
SPY,1d,1,range_expansion_atr:1.50,(tr>=1.5*atr14 AND trend_up_200),1,35.0,35,35,1.0,1.0,0.0002849851691545,0.0002849851691545,0.0002849851691545,0.0002849851691545,0.4703088763601261,0.4703088763601261,0.4703088763601261,0.4703088763601261,0.6
SPY,1d,1,range_contraction_atr:0.60,(tr<=0.6*atr14 AND trend_up_200),3,38.333333333333336,36,41,0.6666666666666666,0.6666666666666666,0.0004816870781458,-0.00048328340670908,0.00082249877065908,-0.0007245260279228,0.964324388655198,-1.20351627259827,1.9469008046359253,-1.745476437911637,0.5277777777777778
SPY,1d,1,range_contraction_atr:0.75,(tr<=0.75*atr14 AND vol_low_q0.33),2,43.5,31,56,0.5,0.5,6.674457312249996e-06,-0.00043304934351923,0.00044639825814373006,-0.0005429802937271,0.45351517361967053,-0.6507477666946602,1.5577781139340012,-0.9268135017732428,0.5097926267281105
SPY,1d,1,range_contraction_atr:0.75,(tr<=0.75*atr14 AND vol_high_q0.67),2,39.0,37,41,0.5,0.5,-0.0004463147771259499,-0.00159369379084775,0.0007010642365958502,-0.0018805385442782,-0.18857976054978576,-1.4523771441491635,1.0752176230495922,-1.768326490049008,0.5576796308503625
SPY,1d,1,range_contraction_atr:0.75,(tr<=0.75*atr14 AND trend_up_200),3,71.66666666666667,69,75,0.3333333333333333,0.3333333333333333,-0.0002498610953933,-0.00035201474353226,0.00045169198417526,-0.000377553155567,-0.6471899122162416,-0.6808730453137469,1.096386738927606,-0.6892938285881233,0.5507246376811594
SPY,1d,1,range_contraction_atr:0.75,(tr<=0.75*atr14 AND trend_down_200),1,60.0,60,60,0.0,0.0,-0.0002970726316216,-0.0002970726316216,-0.0002970726316216,-0.0002970726316216,-0.2925883693716012,-0.2925883693716012,-0.2925883693716012,-0.2925883693716012,0.4333333333333333
SPY,1d,1,range_expansion_atr:1.25,(tr>=1.25*atr14 AND trend_down_200),1,51.0,51,51,0.0,0.0,-0.0039312961537373,-0.0039312961537373,-0.0039312961537373,-0.0039312961537373,-4.025977610475009,-4.025977610475009,-4.025977610475009,-4.025977610475009,0.3333333333333333
SPY,1d,1,range_expansion_atr:1.25,(tr>=1.25*atr14 AND vol_high_q0.67),1,40.0,40,40,0.0,0.0,-0.0049286882713564,-0.0049286882713564,-0.0049286882713564,-0.0049286882713564,-4.9292170420773935,-4.9292170420773935,-4.9292170420773935,-4.9292170420773935,0.35
